sex,measure,length_height_cm,z_minus_3,z_minus_2,z_minus_1,z_0,z_plus_1,z_plus_2,z_plus_3
F,height,65.0,5.6,6.1,6.6,7.2402,6.6,6.1,5.6
F,height,65.5,5.7,6.2,6.7,7.3523,6.7,6.2,5.7
F,height,66.0,5.8,6.3,6.8,7.463,6.8,6.3,5.8
F,height,66.5,5.8,6.4,6.9,7.5724,6.9,6.4,5.8
F,height,67.0,5.9,6.4,7.0,7.6806,7.0,6.4,5.9
F,height,67.5,6.0,6.5,7.1,7.7874,7.1,6.5,6.0
F,height,68.0,6.1,6.6,7.2,7.893,7.2,6.6,6.1
F,height,68.5,6.2,6.7,7.3,7.9976,7.3,6.7,6.2
F,height,69.0,6.3,6.8,7.4,8.1012,7.4,6.8,6.3
F,height,69.5,6.3,6.9,7.5,8.2039,7.5,6.9,6.3
F,height,70.0,6.4,7.0,7.6,8.3058,7.6,7.0,6.4
F,height,70.5,6.5,7.1,7.7,8.4071,7.7,7.1,6.5
F,height,71.0,6.6,7.1,7.8,8.5078,7.8,7.1,6.6
F,height,71.5,6.7,7.2,7.9,8.6078,7.9,7.2,6.7
F,height,72.0,6.7,7.3,8.0,8.707,8.0,7.3,6.7
F,height,72.5,6.8,7.4,8.1,8.8053,8.1,7.4,6.8
F,height,73.0,6.9,7.5,8.1,8.9025,8.1,7.5,6.9
F,height,73.5,7.0,7.6,8.2,8.9983,8.2,7.6,7.0
F,height,74.0,7.0,7.6,8.3,9.0928,8.3,7.6,7.0
F,height,74.5,7.1,7.7,8.4,9.1862,8.4,7.7,7.1
F,height,75.0,7.2,7.8,8.5,9.2786,8.5,7.8,7.2
F,height,75.5,7.2,7.9,8.6,9.3703,8.6,7.9,7.2
F,height,76.0,7.3,8.0,8.7,9.4617,8.7,8.0,7.3
F,height,76.5,7.4,8.0,8.7,9.5533,8.7,8.0,7.4
F,height,77.0,7.5,8.1,8.8,9.6456,8.8,8.1,7.5
F,height,77.5,7.5,8.2,8.9,9.739,8.9,8.2,7.5
F,height,78.0,7.6,8.3,9.0,9.8338,9.0,8.3,7.6
F,height,78.5,7.7,8.4,9.1,9.9303,9.1,8.4,7.7
F,height,79.0,7.8,8.4,9.2,10.0289,9.2,8.4,7.8
F,height,79.5,7.8,8.5,9.3,10.1298,9.3,8.5,7.8
F,height,80.0,7.9,8.6,9.4,10.2332,9.4,8.6,7.9
F,height,80.5,8.0,8.7,9.5,10.3393,9.5,8.7,8.0
F,height,81.0,8.1,8.8,9.6,10.4477,9.6,8.8,8.1
F,height,81.5,8.2,8.9,9.7,10.5586,9.7,8.9,8.2
F,height,82.0,8.3,9.0,9.8,10.6719,9.8,9.0,8.3
F,height,82.5,8.4,9.1,9.9,10.7874,9.9,9.1,8.4
F,height,83.0,8.5,9.2,10.0,10.9051,10.0,9.2,8.5
F,height,83.5,8.5,9.3,10.1,11.0248,10.1,9.3,8.5
F,height,84.0,8.6,9.4,10.2,11.1462,10.2,9.4,8.6
F,height,84.5,8.7,9.5,10.3,11.2691,10.3,9.5,8.7
F,height,85.0,8.8,9.6,10.4,11.3934,10.4,9.6,8.8
F,height,85.5,8.9,9.7,10.6,11.5186,10.6,9.7,8.9
F,height,86.0,9.0,9.8,10.7,11.6444,10.7,9.8,9.0
F,height,86.5,9.1,9.9,10.8,11.7705,10.8,9.9,9.1
F,height,87.0,9.2,10.0,10.9,11.8965,10.9,10.0,9.2
F,height,87.5,9.3,10.1,11.0,12.0223,11.0,10.1,9.3
F,height,88.0,9.4,10.2,11.1,12.1478,11.1,10.2,9.4
F,height,88.5,9.5,10.3,11.2,12.2729,11.2,10.3,9.5
F,height,89.0,9.6,10.4,11.4,12.3976,11.4,10.4,9.6
F,height,89.5,9.7,10.5,11.5,12.522,11.5,10.5,9.7
F,height,90.0,9.8,10.6,11.6,12.6461,11.6,10.6,9.8
F,height,90.5,9.9,10.7,11.7,12.77,11.7,10.7,9.9
F,height,91.0,10.0,10.9,11.8,12.8939,11.8,10.9,10.0
F,height,91.5,10.1,11.0,11.9,13.0177,11.9,11.0,10.1
F,height,92.0,10.2,11.1,12.0,13.1415,12.0,11.1,10.2
F,height,92.5,10.3,11.2,12.1,13.2654,12.1,11.2,10.3
F,height,93.0,10.4,11.3,12.3,13.3896,12.3,11.3,10.4
F,height,93.5,10.5,11.4,12.4,13.5142,12.4,11.4,10.5
F,height,94.0,10.6,11.5,12.5,13.6393,12.5,11.5,10.6
F,height,94.5,10.7,11.6,12.6,13.765,12.6,11.6,10.7
F,height,95.0,10.8,11.7,12.7,13.8914,12.7,11.7,10.8
F,height,95.5,10.8,11.8,12.8,14.0186,12.8,11.8,10.8
F,height,96.0,10.9,11.9,12.9,14.1466,12.9,11.9,10.9
F,height,96.5,11.0,12.0,13.1,14.2757,13.1,12.0,11.0
F,height,97.0,11.1,12.1,13.2,14.4059,13.2,12.1,11.1
F,height,97.5,11.2,12.2,13.3,14.5376,13.3,12.2,11.2
F,height,98.0,11.3,12.3,13.4,14.671,13.4,12.3,11.3
F,height,98.5,11.4,12.4,13.5,14.8062,13.5,12.4,11.4
F,height,99.0,11.5,12.5,13.7,14.9434,13.7,12.5,11.5
F,height,99.5,11.6,12.7,13.8,15.0828,13.8,12.7,11.6
F,height,100.0,11.7,12.8,13.9,15.2246,13.9,12.8,11.7
F,height,100.5,11.9,12.9,14.1,15.3687,14.1,12.9,11.9
F,height,101.0,12.0,13.0,14.2,15.5154,14.2,13.0,12.0
